"iccid","msisdn","startTime(UTC)","endTime(UTC)","bytes","mcc","mnc","promotionName"
"'8944501201168618758","'447937721718","2018-05-01 09:00:02","2018-05-01 09:04:07","58368","'234","'20","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168686042","'882360001273447","2018-05-01 09:00:02","2018-05-01 09:04:07","61440","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168691026","'882360001273945","2018-05-01 09:00:02","2018-05-01 09:04:10","53248","'234","'15","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168690986","'882360001273941","2018-05-01 09:00:02","2018-05-01 09:04:11","106496","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168690150","'882360001273858","2018-05-01 09:00:02","2018-05-01 09:04:11","84992","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168687990","'882360001273642","2018-05-01 09:00:02","2018-05-01 09:04:17","70656","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501201168618725","'447937721715","2018-05-01 09:00:02","2018-05-01 09:12:00","62464","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502511169587359","'882360001640235","2018-05-01 09:00:02","2018-05-01 09:03:25","3072","'310","'410","UKJ 3MB@0.99 OU 0.80 USD ATrck"
"'8944501702168687156","'882360001273558","2018-05-01 09:00:02","2018-05-01 09:04:03","63488","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168686240","'882360001273467","2018-05-01 09:00:02","2018-05-01 09:04:03","9216","'234","'20","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168689731","'882360001273816","2018-05-01 09:00:02","2018-05-01 09:04:05","71680","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944200103299007337","'447449357827","2018-05-01 09:00:02","2018-05-01 09:00:02","263168","'234","'20","UKX 100MB@1.72 OU 0.10 GBP"
"'89011703278160619576","'882350816061957","2018-05-01 09:00:02","2018-05-01 09:00:10","2098176","'310","'410","UKAT 300MB@6.75 OU 0.10 USD Biz Z1"
"'8944501201168618766","'447937721719","2018-05-01 09:00:02","2018-05-01 09:03:58","4096","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944503005178103166","'882360002172496","2018-05-01 09:00:02","2018-05-01 09:04:02","73728","'234","'20","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168686257","'882360001273468","2018-05-01 09:00:02","2018-05-01 09:04:03","62464","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168687800","'882360001273623","2018-05-01 09:00:02","2018-05-01 09:04:03","59392","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168688287","'882360001273671","2018-05-01 09:00:02","2018-05-01 09:04:03","66560","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168690994","'882360001273942","2018-05-01 09:00:02","2018-05-01 09:11:52","67584","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502511169474095","'882360001628909","2018-05-01 09:00:02","2018-05-01 09:00:48","1024","'310","'260","UKJ 1MB@1.35 OU 0.65 USD PGE Z2"
"'8944501410158492310","'447937589074","2018-05-01 09:00:02","2018-05-01 09:01:47","1024","'310","'260","UKJ 4MB@1.62 OU 0.60 USD TAGM zone 1B"
"'8944501702168828172","'882360001285660","2018-05-01 09:00:02","2018-05-01 09:15:01","8192","'334","'03","UKJ 6MB@3.50 OU 0.65 USD CTTMX"
"'8944502810151722937","'882360001097753","2018-05-01 09:00:02","2018-05-01 09:30:02","1024","'302","'720","UKJ BES5 LR@14 USD PER MB"
"'8944501702168686331","'882360001273476","2018-05-01 09:00:03","2018-05-01 09:04:05","80896","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944200007315023154","'447414412316","2018-05-01 09:00:03","2018-05-01 09:00:03","32768","'234","'20","UKX 100MB@1.72 OU 0.10 GBP"
"'8944500606138142559","'447937879255","2018-05-01 09:00:03","2018-05-01 09:00:10","1024","'310","'260","UKJ 15MB@3.91 OU .65 USD"
"'8944502511169641172","'882360001645617","2018-05-01 09:00:03","2018-05-01 09:00:33","1024","'310","'410","UKJ 15MB@3.91 OU .65 USD"
"'8944503005179958386","'882360002512548","2018-05-01 09:00:03","2018-05-01 09:00:42","1024","'234","'30","UKJ 0.5MB@0.81 OU 0.25 USD GS Zone 1b"
"'8944501702168691083","'882360001273951","2018-05-01 09:00:03","2018-05-01 09:00:44","1024","'234","'15","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502511169709417","'882360001652441","2018-05-01 09:00:03","2018-05-01 09:01:02","1024","'302","'720","UKJ 1MB@1.35 OU 0.65 USD PGE Z2"
"'8944501702168691000","'882360001273943","2018-05-01 09:00:03","2018-05-01 09:04:02","71680","'234","'15","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502511169350592","'882360001616559","2018-05-01 09:00:03","2018-05-01 09:04:03","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502511169350030","'882360001616503","2018-05-01 09:00:03","2018-05-01 09:04:03","87040","'234","'20","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501201168616992","'447937721542","2018-05-01 09:00:03","2018-05-01 09:04:13","33792","'234","'15","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502511169350261","'882360001616526","2018-05-01 09:00:03","2018-05-01 09:04:15","64512","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502511169520608","'882360001633560","2018-05-01 09:00:03","2018-05-01 09:00:06","1024","'214","'01","UKJ 5MB@1.20 OU 0.30 EUR YUGO"
"'8944502511169574951","'882360001638995","2018-05-01 09:00:03","2018-05-01 09:00:08","1024","'310","'260","UKJ 5MB@1.99 OU 0.80 USD Teknos"
"'8944501702168690010","'882360001273844","2018-05-01 09:00:03","2018-05-01 09:04:02","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168686877","'882360001273530","2018-05-01 09:00:03","2018-05-01 09:04:05","148480","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168687560","'882360001273599","2018-05-01 09:00:03","2018-05-01 09:04:01","9216","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168687743","'882360001273617","2018-05-01 09:00:03","2018-05-01 09:04:06","100352","'234","'20","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168688758","'882360001273718","2018-05-01 09:00:03","2018-05-01 09:04:06","83968","'234","'20","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501201168618253","'447937721668","2018-05-01 09:00:03","2018-05-01 09:04:06","67584","'234","'20","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168686398","'882360001273482","2018-05-01 09:00:03","2018-05-01 09:04:07","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502511169351228","'882360001616622","2018-05-01 09:00:03","2018-05-01 09:04:13","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944503005178103257","'882360002172505","2018-05-01 09:00:03","2018-05-01 09:03:56","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502010148223608","'11835079269","2018-05-01 09:00:03","2018-05-01 09:03:41","1024","'736","'01","UKA 2MB@4.00 OU 1.20 USD"
"'8944501702168686901","'882360001273533","2018-05-01 09:00:03","2018-05-01 09:04:04","60416","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502511169520426","'882360001633542","2018-05-01 09:00:03","2018-05-01 09:00:05","1024","'214","'03","UKJ 5MB@1.20 OU 0.30 EUR YUGO"
"'8944501702168689517","'882360001273794","2018-05-01 09:00:03","2018-05-01 09:04:05","123904","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501201168616802","'447937721523","2018-05-01 09:00:03","2018-05-01 09:04:12","81920","'234","'20","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502511169271681","'882360001608668","2018-05-01 09:00:03","2018-05-01 09:13:39","1024","'310","'410","UKJ 1MB@0.90 OU 0.80 USD AnyTr Z2B"
"'8944501702168689814","'882360001273824","2018-05-01 09:00:04","2018-05-01 09:04:04","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501201168617347","'447937721577","2018-05-01 09:00:04","2018-05-01 09:04:04","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502511169465283","'882360001628028","2018-05-01 09:00:04","2018-05-01 09:00:06","1024","'214","'01","UKJ 5MB@1.20 OU 0.30 EUR YUGO"
"'8944501201168617784","'447937721621","2018-05-01 09:00:04","2018-05-01 09:04:05","1024","'234","'15","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502511169351178","'882360001616617","2018-05-01 09:00:04","2018-05-01 09:04:10","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502010148265351","'447509154535","2018-05-01 09:00:04","2018-05-01 09:20:18","13312","'310","'410","UKJ 8MB@1.00 OU 0.15 USD SK Temporary"
"'8944503005179738796","'882360002186059","2018-05-01 09:00:04","2018-05-01 09:30:04","1024","'310","'260","UKJ BES5 LR@14 USD PER MB"
"'8944502511169545381","'882360001636038","2018-05-01 09:00:04","2018-05-01 09:30:04","1024","'302","'220","UKJ BES5 LR@14 USD PER MB"
"'8944501702168687610","'882360001273604","2018-05-01 09:00:04","2018-05-01 09:04:01","1024","'234","'15","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168684674","'882360001273310","2018-05-01 09:00:04","2018-05-01 09:04:03","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168689640","'882360001273807","2018-05-01 09:00:04","2018-05-01 09:04:03","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168686638","'882360001273506","2018-05-01 09:00:04","2018-05-01 09:04:04","1024","'234","'20","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168684658","'882360001273308","2018-05-01 09:00:04","2018-05-01 09:04:05","1024","'234","'15","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168685580","'882360001273401","2018-05-01 09:00:04","2018-05-01 09:04:05","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168689087","'882360001273751","2018-05-01 09:00:04","2018-05-01 09:04:05","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501201168618808","'447937721723","2018-05-01 09:00:04","2018-05-01 09:04:05","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168687248","'882360001273567","2018-05-01 09:00:04","2018-05-01 09:04:05","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168691364","'882360001273979","2018-05-01 09:00:04","2018-05-01 09:04:06","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168684633","'882360001273306","2018-05-01 09:00:04","2018-05-01 09:04:07","1024","'234","'15","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502511169349875","'882360001616487","2018-05-01 09:00:04","2018-05-01 09:04:14","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501201168618337","'447937721676","2018-05-01 09:00:04","2018-05-01 09:04:08","13312","'234","'20","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501201168617461","'447937721589","2018-05-01 09:00:04","2018-05-01 09:04:10","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168684765","'882360001273319","2018-05-01 09:00:04","2018-05-01 09:04:14","70656","'234","'15","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168691166","'882360001273959","2018-05-01 09:00:04","2018-05-01 09:04:15","1024","'234","'10","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168685036","'882360001273346","2018-05-01 09:00:04","2018-05-01 09:04:25","1024","'234","'15","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8901260882217684247","'18164567285","2018-05-01 09:00:04","2018-05-01 09:05:17","1024","'310","'260","UKTM 10MB@2.25 10 SMS OU 0.20 USD FGPS"
"'8944501201168616570","'447937721500","2018-05-01 09:00:04","2018-05-01 09:04:05","1024","'234","'15","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168686505","'882360001273493","2018-05-01 09:00:04","2018-05-01 09:04:30","1024","'234","'20","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502511169349099","'882360001616409","2018-05-01 09:00:04","2018-05-01 09:04:04","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502511169349511","'882360001616451","2018-05-01 09:00:04","2018-05-01 09:04:05","1024","'234","'15","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168688675","'882360001273710","2018-05-01 09:00:04","2018-05-01 09:04:07","1024","'234","'20","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502511169348943","'882360001616394","2018-05-01 09:00:04","2018-05-01 09:04:07","1024","'234","'10","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168690648","'882360001273907","2018-05-01 09:00:04","2018-05-01 09:04:07","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168685911","'882360001273434","2018-05-01 09:00:04","2018-05-01 09:04:08","1024","'234","'10","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168687636","'882360001273606","2018-05-01 09:00:04","2018-05-01 09:04:11","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502010148261160","'447509154116","2018-05-01 09:00:04","2018-05-01 09:01:05","1024","'310","'410","UKJ 8MB@1.00 OU 0.15 USD SK Temporary"
"'8944500606138084520","'447937873452","2018-05-01 09:00:04","2018-05-01 09:01:49","1024","'234","'30","UKJ 2MB@1.00 OU 0.50 GBP"
"'8944503005179839404","'447509728283","2018-05-01 09:00:04","2018-05-01 09:31:02","3072","'234","'10","UKJ 1MB@0.79 OU 1.00 GBP"
"'8944501702168689723","'882360001273815","2018-05-01 09:00:05","2018-05-01 09:04:03","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168686992","'882360001273542","2018-05-01 09:00:05","2018-05-01 09:04:04","1024","'234","'15","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501201168617974","'447937721640","2018-05-01 09:00:05","2018-05-01 09:04:04","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168684534","'882360001273296","2018-05-01 09:00:05","2018-05-01 09:04:04","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168690432","'882360001273886","2018-05-01 09:00:05","2018-05-01 09:04:05","1024","'234","'20","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501201168618063","'447937721649","2018-05-01 09:00:05","2018-05-01 09:04:05","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944200103299005893","'447453022249","2018-05-01 09:00:05","2018-05-01 09:00:05","14336","'234","'20","UKX 100MB@1.72 OU 0.10 GBP"
"'8944502405158384243","'447937566422","2018-05-01 09:00:05","2018-05-01 09:00:07","1024","'334","'050","UKJ 2MB@1.60 OU 0.80 USD STG"
"'8944503005178103539","'882360002172533","2018-05-01 09:00:05","2018-05-01 09:03:56","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168686430","'882360001273486","2018-05-01 09:00:05","2018-05-01 09:04:02","1024","'234","'20","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168685416","'882360001273384","2018-05-01 09:00:05","2018-05-01 09:04:02","1024","'234","'20","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168686620","'882360001273505","2018-05-01 09:00:05","2018-05-01 09:04:02","1024","'234","'15","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168685192","'882360001273362","2018-05-01 09:00:05","2018-05-01 09:04:03","1024","'234","'15","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168685341","'882360001273377","2018-05-01 09:00:05","2018-05-01 09:04:03","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502511169349560","'882360001616456","2018-05-01 09:00:05","2018-05-01 09:04:05","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168684344","'882360001273277","2018-05-01 09:00:05","2018-05-01 09:04:05","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501201168616794","'447937721522","2018-05-01 09:00:05","2018-05-01 09:04:06","1024","'234","'15","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501201168616786","'447937721521","2018-05-01 09:00:05","2018-05-01 09:04:07","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168684153","'882360001273258","2018-05-01 09:00:05","2018-05-01 09:04:08","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501201168616778","'447937721520","2018-05-01 09:00:05","2018-05-01 09:04:10","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168689046","'882360001273747","2018-05-01 09:00:05","2018-05-01 09:04:10","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502511169351384","'882360001616638","2018-05-01 09:00:05","2018-05-01 09:04:12","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502511169351004","'882360001616600","2018-05-01 09:00:05","2018-05-01 09:04:12","51200","'234","'15","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168687818","'882360001273624","2018-05-01 09:00:05","2018-05-01 09:04:14","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168688527","'882360001273695","2018-05-01 09:00:05","2018-05-01 09:04:18","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944503005178102838","'882360002172463","2018-05-01 09:00:05","2018-05-01 09:01:56","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168686323","'882360001273475","2018-05-01 09:00:05","2018-05-01 09:04:03","1024","'234","'15","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168689426","'882360001273785","2018-05-01 09:00:05","2018-05-01 09:04:05","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168688774","'882360001273720","2018-05-01 09:00:05","2018-05-01 09:04:05","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168687255","'882360001273568","2018-05-01 09:00:05","2018-05-01 09:04:05","1024","'234","'15","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168686208","'882360001273463","2018-05-01 09:00:05","2018-05-01 09:04:04","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168686604","'882360001273503","2018-05-01 09:00:05","2018-05-01 09:04:08","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501201168616851","'447937721528","2018-05-01 09:00:05","2018-05-01 09:04:07","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168685564","'882360001273399","2018-05-01 09:00:05","2018-05-01 09:04:11","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501201168616810","'447937721524","2018-05-01 09:00:05","2018-05-01 09:04:08","1024","'234","'15","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502511169350212","'882360001616521","2018-05-01 09:00:05","2018-05-01 09:04:10","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502511169351038","'882360001616603","2018-05-01 09:00:05","2018-05-01 09:04:10","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502511169350147","'882360001616514","2018-05-01 09:00:05","2018-05-01 09:04:11","1024","'234","'15","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944503005178103125","'882360002172492","2018-05-01 09:00:05","2018-05-01 09:03:58","1024","'234","'15","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944502511169349404","'882360001616440","2018-05-01 09:00:05","2018-05-01 09:04:14","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944501702168685457","'882360001273388","2018-05-01 09:00:05","2018-05-01 09:04:14","1024","'234","'30","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944503005178102275","'882360002172407","2018-05-01 09:00:05","2018-05-01 09:04:17","1024","'234","'10","UKJ 40MB@3.14 OU 0.20 GBP LDC"
"'8944200103299006925","'447453027288","2018-05-01 09:00:05","2018-05-01 09:00:05","105472","'234","'20","UKX 100MB@1.72 OU 0.10 GBP"
